"wine","vintage","region","varietal","rating","price"
"Frog's Leap Estate Grown Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",93,49.99
"Rodney Strong Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,19.99
"Emblem Napa Valley Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,29.99
"Etude Napa Valley Cabernet Sauvignon ",0,"California","Cabernet Sauvignon",90,79.99
"RouteStock Route 29 Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",89,19.99
"Joseph Phelps Insignia (375ML half-bottle) ",4,"California","Cabernet Sauvignon",100,109
"Chateau Montelena Estate Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",94,114.99
"Robert Craig Cellars Affinity Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",92,44.99
"DAOU Vineyards Reserve Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",95,57.99
"Hall Napa Valley Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,54.99
"Philip Togni Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",97,109
"Raymond Generations Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",95,109
"Noble Vines 337 Lodi Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",88,13.99
"Louis Martini Napa Valley Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,35.99
"Chappellet Signature Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",93,56.99
"Atalon Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",91,32.99
"Stag's Leap Wine Cellars Fay Vineyard Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",93,99
"Mt. Brave Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",94,79.99
"Kenwood Artist Series Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",95,71.99
"Stonestreet Estate Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",93,41.99
"Chateau Montelena Estate Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",94,114.99
"Robert Craig Cellars Affinity Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",92,44.99
"DAOU Vineyards Reserve Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",95,57.99
"Hall Napa Valley Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,54.99
"Philip Togni Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",97,109
"Raymond Generations Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",95,109
"Noble Vines 337 Lodi Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",88,13.99
"Louis Martini Napa Valley Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,35.99
"Chappellet Signature Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",93,56.99
"Atalon Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",91,32.99
"Robert Craig Cellars Affinity Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",92,44.99
"DAOU Vineyards Reserve Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",95,57.99
"Hall Napa Valley Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,54.99
"Philip Togni Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",97,109
"Raymond Generations Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",95,109
"Noble Vines 337 Lodi Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",88,13.99
"Louis Martini Napa Valley Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,35.99
"Chappellet Signature Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",93,56.99
"Atalon Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",91,32.99
"Stag's Leap Wine Cellars Fay Vineyard Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",93,99
"Mt. Brave Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",94,79.99
"Kenwood Artist Series Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",95,71.99
"Stonestreet Estate Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",93,41.99
"Beaulieu Vineyard Georges de Latour Private Reserve ",3,"California","Cabernet Sauvignon",92,89.99
"Philip Togni Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",97,109
"Raymond Generations Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",95,109
"Noble Vines 337 Lodi Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",88,13.99
"Louis Martini Napa Valley Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,35.99
"Chappellet Signature Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",93,56.99
"Atalon Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",91,32.99
"Stag's Leap Wine Cellars Fay Vineyard Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",93,99
"Mt. Brave Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",94,79.99
"Kenwood Artist Series Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",95,71.99
"Stonestreet Estate Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",93,41.99
"Beaulieu Vineyard Georges de Latour Private Reserve ",3,"California","Cabernet Sauvignon",92,89.99
"Wine Spots Napa Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,29.99
"Louis Martini Napa Valley Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,35.99
"Chappellet Signature Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",93,56.99
"Atalon Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",91,32.99
"Stag's Leap Wine Cellars Fay Vineyard Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",93,99
"Mt. Brave Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",94,79.99
"Kenwood Artist Series Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",95,71.99
"Stonestreet Estate Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",93,41.99
"Beaulieu Vineyard Georges de Latour Private Reserve ",3,"California","Cabernet Sauvignon",92,89.99
"Wine Spots Napa Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,29.99
"Atalon Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",91,32.99
"Stag's Leap Wine Cellars Fay Vineyard Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",93,99
"Mt. Brave Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",94,79.99
"Kenwood Artist Series Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",95,71.99
"Stonestreet Estate Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",93,41.99
"Beaulieu Vineyard Georges de Latour Private Reserve ",3,"California","Cabernet Sauvignon",92,89.99
"Wine Spots Napa Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,29.99
"La Jota Howell Mountain Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",95,79.99
"Chateau Montelena Estate Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",92,115
"Stag's Leap Wine Cellars Fay Vineyard Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",93,99
"Mt. Brave Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",94,79.99
"Kenwood Artist Series Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",95,71.99
"Stonestreet Estate Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",93,41.99
"Beaulieu Vineyard Georges de Latour Private Reserve ",3,"California","Cabernet Sauvignon",92,89.99
"Wine Spots Napa Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,29.99
"Mt. Brave Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",94,79.99
"Kenwood Artist Series Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",95,71.99
"Stonestreet Estate Cabernet Sauvignon ",2,"California","Cabernet Sauvignon",93,41.99
"Beaulieu Vineyard Georges de Latour Private Reserve ",3,"California","Cabernet Sauvignon",92,89.99
"Wine Spots Napa Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,29.99
"Beaulieu Vineyard Georges de Latour Private Reserve ",3,"California","Cabernet Sauvignon",92,89.99
"Wine Spots Napa Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,29.99
"La Jota Howell Mountain Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",95,79.99
"Chateau Montelena Estate Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",92,115
"Quintessa (375ML half-bottle) ",3,"California","Cabernet Sauvignon",93,73.99
"Beaulieu Vineyard Georges de Latour Private Reserve ",3,"California","Cabernet Sauvignon",92,89.99
"Wine Spots Napa Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,29.99
"La Jota Howell Mountain Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",95,79.99
"Chateau Montelena Estate Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",92,115
"Quintessa (375ML half-bottle) ",3,"California","Cabernet Sauvignon",93,73.99
"Wine Spots Napa Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,29.99
"La Jota Howell Mountain Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",95,79.99
"Chateau Montelena Estate Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",92,115
"Quintessa (375ML half-bottle) ",3,"California","Cabernet Sauvignon",93,73.99
"Plungerhead Lodi Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,13.99
"La Jota Howell Mountain Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",95,79.99
"Chateau Montelena Estate Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",92,115
"Quintessa (375ML half-bottle) ",3,"California","Cabernet Sauvignon",93,73.99
"La Jota Howell Mountain Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",95,79.99
"Chateau Montelena Estate Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",92,115
"Quintessa (375ML half-bottle) ",3,"California","Cabernet Sauvignon",93,73.99
"Plungerhead Lodi Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,13.99
"Levendi Stagecoach Cabernet Sauvignon ",1,"California","Cabernet Sauvignon",95,57.99
"La Jota Howell Mountain Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",95,79.99
"Chateau Montelena Estate Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",92,115
"Quintessa (375ML half-bottle) ",3,"California","Cabernet Sauvignon",93,73.99
"Plungerhead Lodi Cabernet Sauvignon ",4,"California","Cabernet Sauvignon",90,13.99
"Levendi Stagecoach Cabernet Sauvignon ",1,"California","Cabernet Sauvignon",95,57.99
"La Jota Howell Mountain Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",95,79.99
"Chateau Montelena Estate Cabernet Sauvignon ",3,"California","Cabernet Sauvignon",92,115
"Rutherford Ranch Chardonnay ",5,"California","Chardonnay",90,15.99
"Thomas Fogarty Santa Cruz Mountains Chardonnay ",2,"California","Chardonnay",94,23.99
"Dierberg Chardonnay ",4,"California","Chardonnay",93,28.99
"Dierberg Chardonnay ",4,"California","Chardonnay",93,28.99
"Gundlach Bundschu Chardonnay ",4,"California","Chardonnay",90,19.99
"Newton Unfiltered Chardonnay ",4,"California","Chardonnay",94,52.99
"William Hill Napa Valley Chardonnay ",5,"California","Chardonnay",90,23.99
"Rodney Strong Chalk Hill Chardonnay ",5,"California","Chardonnay",90,19.99
"Beringer Luminus Chardonnay ",5,"California","Chardonnay",91,34.99
"Dierberg Chardonnay ",4,"California","Chardonnay",93,28.99
"Gundlach Bundschu Chardonnay ",4,"California","Chardonnay",90,19.99
"Newton Unfiltered Chardonnay ",4,"California","Chardonnay",94,52.99
"William Hill Napa Valley Chardonnay ",5,"California","Chardonnay",90,23.99
"Rodney Strong Chalk Hill Chardonnay ",5,"California","Chardonnay",90,19.99
"Beringer Luminus Chardonnay ",5,"California","Chardonnay",91,34.99
"Thomas Fogarty Santa Cruz Mountains Chardonnay ",2,"California","Chardonnay",94,23.99
"Dierberg Chardonnay ",4,"California","Chardonnay",93,28.99
"Landmark Overlook Chardonnay ",4,"California","Chardonnay",90,23.99
"Gundlach Bundschu Chardonnay ",4,"California","Chardonnay",90,19.99
"Newton Unfiltered Chardonnay ",4,"California","Chardonnay",94,52.99
"William Hill Napa Valley Chardonnay ",5,"California","Chardonnay",90,23.99
"Rodney Strong Chalk Hill Chardonnay ",5,"California","Chardonnay",90,19.99
"Beringer Luminus Chardonnay ",5,"California","Chardonnay",91,34.99
"Thomas Fogarty Santa Cruz Mountains Chardonnay ",2,"California","Chardonnay",94,23.99
"Dierberg Chardonnay ",4,"California","Chardonnay",93,28.99
"Landmark Overlook Chardonnay ",4,"California","Chardonnay",90,23.99
"Beringer Luminus Chardonnay ",5,"California","Chardonnay",91,34.99
"Flowers Sonoma Coast Chardonnay ",5,"California","Chardonnay",93,45.99
"Jordan Chardonnay ",4,"California","Chardonnay",91,38.99
"Dierberg Chardonnay ",4,"California","Chardonnay",93,28.99
"Landmark Overlook Chardonnay ",4,"California","Chardonnay",90,23.99
"Gundlach Bundschu Chardonnay ",4,"California","Chardonnay",90,19.99
"Newton Unfiltered Chardonnay ",4,"California","Chardonnay",94,52.99
"William Hill Napa Valley Chardonnay ",5,"California","Chardonnay",90,23.99
"Rodney Strong Chalk Hill Chardonnay ",5,"California","Chardonnay",90,19.99
"Beringer Luminus Chardonnay ",5,"California","Chardonnay",91,34.99
"Dierberg Chardonnay ",4,"California","Chardonnay",93,28.99
"Landmark Overlook Chardonnay ",4,"California","Chardonnay",90,23.99
"Gundlach Bundschu Chardonnay ",4,"California","Chardonnay",90,19.99
"Newton Unfiltered Chardonnay ",4,"California","Chardonnay",94,52.99
"William Hill Napa Valley Chardonnay ",5,"California","Chardonnay",90,23.99
"Rodney Strong Chalk Hill Chardonnay ",5,"California","Chardonnay",90,19.99
"Beringer Luminus Chardonnay ",5,"California","Chardonnay",91,34.99
"Dierberg Chardonnay ",4,"California","Chardonnay",93,28.99
"Landmark Overlook Chardonnay ",4,"California","Chardonnay",90,23.99
"Gundlach Bundschu Chardonnay ",4,"California","Chardonnay",90,19.99
"Newton Unfiltered Chardonnay ",4,"California","Chardonnay",94,52.99
"William Hill Napa Valley Chardonnay ",5,"California","Chardonnay",90,23.99
"Rodney Strong Chalk Hill Chardonnay ",5,"California","Chardonnay",90,19.99
"Moobuzz Monterey Chardonnay ",5,"California","Chardonnay",90,12.99
"Wente Morning Fog Chardonnay ",5,"California","Chardonnay",90,15.99
"Matanzas Creek Chardonnay ",4,"California","Chardonnay",90,24.99
"DeLoach Russian River Chardonnay ",4,"California","Chardonnay",91,19.99
"Stonestreet Estate Chardonnay ",4,"California","Chardonnay",93,35.99
"Moobuzz Monterey Chardonnay ",5,"California","Chardonnay",90,12.99
"Wente Morning Fog Chardonnay ",5,"California","Chardonnay",90,15.99
"Matanzas Creek Chardonnay ",4,"California","Chardonnay",90,24.99
"DeLoach Russian River Chardonnay ",4,"California","Chardonnay",91,19.99
"Matanzas Creek Chardonnay ",4,"California","Chardonnay",90,24.99
"DeLoach Russian River Chardonnay ",4,"California","Chardonnay",91,19.99
"Stonestreet Estate Chardonnay ",4,"California","Chardonnay",93,35.99
"DeLoach Russian River Chardonnay ",4,"California","Chardonnay",91,19.99
"Stonestreet Estate Chardonnay ",4,"California","Chardonnay",93,35.99
"High Flyer Sierra Madre Chardonnay ",2,"California","Chardonnay",90,14.99
"DeLoach Russian River Chardonnay ",4,"California","Chardonnay",91,19.99
"Stonestreet Estate Chardonnay ",4,"California","Chardonnay",93,35.99
"High Flyer Sierra Madre Chardonnay ",2,"California","Chardonnay",90,14.99
"DeLoach Russian River Chardonnay ",4,"California","Chardonnay",91,19.99
"Stonestreet Estate Chardonnay ",4,"California","Chardonnay",93,35.99
"High Flyer Sierra Madre Chardonnay ",2,"California","Chardonnay",90,14.99
"Stag's Leap Wine Cellars KARIA Chardonnay ",5,"California","Chardonnay",89,31.99
"Stonestreet Estate Chardonnay ",4,"California","Chardonnay",93,35.99
"High Flyer Sierra Madre Chardonnay ",2,"California","Chardonnay",90,14.99
"High Flyer Sierra Madre Chardonnay ",2,"California","Chardonnay",90,14.99
"High Flyer Sierra Madre Chardonnay ",2,"California","Chardonnay",90,14.99
"Stag's Leap Wine Cellars KARIA Chardonnay ",5,"California","Chardonnay",89,31.99
"Melville Estate Chardonnay ",5,"California","Chardonnay",92,25.99
"Chasseur Lorenzo Chardonnay ",3,"California","Chardonnay",91,59.99
"Kendall-Jackson Jackson Estate Camelot Highlands Chardonnay ",4,"California","Chardonnay",92,29.99
"Rochioli Chardonnay ",4,"California","Chardonnay",91,62.99
"High Flyer Sierra Madre Chardonnay ",2,"California","Chardonnay",90,14.99
"Stag's Leap Wine Cellars KARIA Chardonnay ",5,"California","Chardonnay",89,31.99
"Melville Estate Chardonnay ",5,"California","Chardonnay",92,25.99
"Chasseur Lorenzo Chardonnay ",3,"California","Chardonnay",91,59.99
"Kendall-Jackson Jackson Estate Camelot Highlands Chardonnay ",4,"California","Chardonnay",92,29.99
"Rochioli Chardonnay ",4,"California","Chardonnay",91,62.99
"Pine Ridge Dijon Clone Carneros Chardonnay ",5,"California","Chardonnay",90,29.99
"High Flyer Sierra Madre Chardonnay ",2,"California","Chardonnay",90,14.99
"Stag's Leap Wine Cellars KARIA Chardonnay ",5,"California","Chardonnay",89,31.99
"Melville Estate Chardonnay ",5,"California","Chardonnay",92,25.99
"Chasseur Lorenzo Chardonnay ",3,"California","Chardonnay",91,59.99
"Kendall-Jackson Jackson Estate Camelot Highlands Chardonnay ",4,"California","Chardonnay",92,29.99
"Rochioli Chardonnay ",4,"California","Chardonnay",91,62.99
"Pine Ridge Dijon Clone Carneros Chardonnay ",5,"California","Chardonnay",90,29.99
"Ramey Russian River Chardonnay ",4,"California","Chardonnay",91,34.99
"High Flyer Sierra Madre Chardonnay ",2,"California","Chardonnay",90,14.99
"Stag's Leap Wine Cellars KARIA Chardonnay ",5,"California","Chardonnay",89,31.99
"Melville Estate Chardonnay ",5,"California","Chardonnay",92,25.99
"Chasseur Lorenzo Chardonnay ",3,"California","Chardonnay",91,59.99
"Kendall-Jackson Jackson Estate Camelot Highlands Chardonnay ",4,"California","Chardonnay",92,29.99
"Rochioli Chardonnay ",4,"California","Chardonnay",91,62.99
"Stag's Leap Wine Cellars KARIA Chardonnay ",5,"California","Chardonnay",89,31.99
"Melville Estate Chardonnay ",5,"California","Chardonnay",92,25.99
"Chasseur Lorenzo Chardonnay ",3,"California","Chardonnay",91,59.99
"Kendall-Jackson Jackson Estate Camelot Highlands Chardonnay ",4,"California","Chardonnay",92,29.99
"Rochioli Chardonnay ",4,"California","Chardonnay",91,62.99
"Pine Ridge Dijon Clone Carneros Chardonnay ",5,"California","Chardonnay",90,29.99
"Ramey Russian River Chardonnay ",4,"California","Chardonnay",91,34.99
"Stag's Leap Wine Cellars KARIA Chardonnay ",5,"California","Chardonnay",89,31.99
"Melville Estate Chardonnay ",5,"California","Chardonnay",92,25.99
"Chasseur Lorenzo Chardonnay ",3,"California","Chardonnay",91,59.99
"Kendall-Jackson Jackson Estate Camelot Highlands Chardonnay ",4,"California","Chardonnay",92,29.99
"Rochioli Chardonnay ",4,"California","Chardonnay",91,62.99
"Pine Ridge Dijon Clone Carneros Chardonnay ",5,"California","Chardonnay",90,29.99
"Ramey Russian River Chardonnay ",4,"California","Chardonnay",91,34.99
"Stag's Leap Wine Cellars KARIA Chardonnay ",5,"California","Chardonnay",89,31.99
"Melville Estate Chardonnay ",5,"California","Chardonnay",92,25.99
"Chasseur Lorenzo Chardonnay ",3,"California","Chardonnay",91,59.99
"Kendall-Jackson Jackson Estate Camelot Highlands Chardonnay ",4,"California","Chardonnay",92,29.99
"Rochioli Chardonnay ",4,"California","Chardonnay",91,62.99
"Freemark Abbey Merlot ",4,"California","Merlot",92,29.99
"Freemark Abbey Merlot ",4,"California","Merlot",92,29.99
"Leese-Fitch Merlot ",4,"California","Merlot",91,11.99
"Freemark Abbey Merlot ",4,"California","Merlot",92,29.99
"Leese-Fitch Merlot ",4,"California","Merlot",91,11.99
"Freemark Abbey Merlot ",4,"California","Merlot",92,29.99
"Leese-Fitch Merlot ",4,"California","Merlot",91,11.99
"Leese-Fitch Merlot ",4,"California","Merlot",91,11.99
"Freemark Abbey Merlot ",4,"California","Merlot",92,29.99
"Leese-Fitch Merlot ",4,"California","Merlot",91,11.99
"Freemark Abbey Merlot ",4,"California","Merlot",92,29.99
"Leese-Fitch Merlot ",4,"California","Merlot",91,11.99
"Freemark Abbey Merlot ",4,"California","Merlot",92,29.99
"Frog's Leap Merlot (375ML half-bottle) ",3,"California","Merlot",92,18.99
"Grgich Hills Merlot ",2,"California","Merlot",95,39.99
"Markham Merlot ",4,"California","Merlot",89,23.99
"Rays Station Merlot ",4,"California","Merlot",91,15.99
"Frog's Leap Merlot (375ML half-bottle) ",3,"California","Merlot",92,18.99
"Grgich Hills Merlot ",2,"California","Merlot",95,39.99
"Markham Merlot ",4,"California","Merlot",89,23.99
"Rays Station Merlot ",4,"California","Merlot",91,15.99
"Frog's Leap Merlot (375ML half-bottle) ",3,"California","Merlot",92,18.99
"Grgich Hills Merlot ",2,"California","Merlot",95,39.99
"Markham Merlot ",4,"California","Merlot",89,23.99
"Rays Station Merlot ",4,"California","Merlot",91,15.99
"Duckhorn Three Palms Merlot ",3,"California","Merlot",95,89
"Markham Merlot ",4,"California","Merlot",89,23.99
"Rays Station Merlot ",4,"California","Merlot",91,15.99
"Duckhorn Three Palms Merlot ",3,"California","Merlot",95,89
"Rays Station Merlot ",4,"California","Merlot",91,15.99
"Duckhorn Three Palms Merlot ",3,"California","Merlot",95,89
"Duckhorn Three Palms Merlot ",3,"California","Merlot",95,89
"Bonterra Organically Grown Merlot ",4,"California","Merlot",90,14.99
"Duckhorn Three Palms Merlot ",3,"California","Merlot",95,89
"Duckhorn Three Palms Merlot ",3,"California","Merlot",95,89
"Duckhorn Three Palms Merlot ",3,"California","Merlot",95,89
"Bonterra Organically Grown Merlot ",4,"California","Merlot",90,14.99
"Swanson Oakville Merlot ",3,"California","Merlot",91,29.99
"Duckhorn Three Palms Merlot ",3,"California","Merlot",95,89
"Bonterra Organically Grown Merlot ",4,"California","Merlot",90,14.99
"Swanson Oakville Merlot ",3,"California","Merlot",91,29.99
"Bonterra Organically Grown Merlot ",4,"California","Merlot",90,14.99
"Swanson Oakville Merlot ",3,"California","Merlot",91,29.99
"Bonterra Organically Grown Merlot ",4,"California","Merlot",90,14.99
"Swanson Oakville Merlot ",3,"California","Merlot",91,29.99
"Bonterra Organically Grown Merlot ",4,"California","Merlot",90,14.99
"Swanson Oakville Merlot ",3,"California","Merlot",91,29.99
"Emmolo Merlot ",4,"California","Merlot",95,59.99
"Bonterra Organically Grown Merlot ",4,"California","Merlot",90,14.99
"Swanson Oakville Merlot ",3,"California","Merlot",91,29.99
"Emmolo Merlot ",4,"California","Merlot",95,59.99
"Twomey Cellars by Silver Oak Merlot ",2,"California","Merlot",90,54.99
"Bonterra Organically Grown Merlot ",4,"California","Merlot",90,14.99
"Swanson Oakville Merlot ",3,"California","Merlot",91,29.99
"Schug Sonoma Coast Pinot Noir ",5,"California","Pinot Noir",92,19.99
"Belle Glos Las Alturas Vineyard Pinot Noir ",5,"California","Pinot Noir",93,39.99
"Belle Glos Dairyman Vineyard Pinot Noir ",5,"California","Pinot Noir",92,39.99
"Byron Santa Maria Pinot Noir ",4,"California","Pinot Noir",93,23.99
"Hahn Estates Santa Lucia Highlands Pinot Noir ",4,"California","Pinot Noir",92,24.99
"Joseph Phelps Freestone Vineyards Sonoma Coast Pinot Noir ",4,"California","Pinot Noir",93,44.99
"Rodney Strong Estate Pinot Noir ",4,"California","Pinot Noir",90,19.99
"Reata Three County Pinot Noir ",4,"California","Pinot Noir",90,19.99
"Migration Russian River Pinot Noir (375ML half-bottle) ",4,"California","Pinot Noir",93,19.99
"Rodney Strong Estate Pinot Noir ",4,"California","Pinot Noir",90,19.99
"Reata Three County Pinot Noir ",4,"California","Pinot Noir",90,19.99
"Migration Russian River Pinot Noir (375ML half-bottle) ",4,"California","Pinot Noir",93,19.99
"Cambria Julia's Vineyard Pinot Noir ",4,"California","Pinot Noir",91,22.99
"Goldeneye Anderson Valley Pinot Noir ",3,"California","Pinot Noir",91,49.99
"Line 39 Pinot Noir ",5,"California","Pinot Noir",90,9.99
"Migration Russian River Pinot Noir (375ML half-bottle) ",4,"California","Pinot Noir",93,19.99
"Cambria Julia's Vineyard Pinot Noir ",4,"California","Pinot Noir",91,22.99
"Goldeneye Anderson Valley Pinot Noir ",3,"California","Pinot Noir",91,49.99
"Line 39 Pinot Noir ",5,"California","Pinot Noir",90,9.99
"Rodney Strong Estate Pinot Noir ",4,"California","Pinot Noir",90,19.99
"Reata Three County Pinot Noir ",4,"California","Pinot Noir",90,19.99
"Migration Russian River Pinot Noir (375ML half-bottle) ",4,"California","Pinot Noir",93,19.99
"Cambria Julia's Vineyard Pinot Noir ",4,"California","Pinot Noir",91,22.99
"Goldeneye Anderson Valley Pinot Noir ",3,"California","Pinot Noir",91,49.99
"Line 39 Pinot Noir ",5,"California","Pinot Noir",90,9.99
"Reata Three County Pinot Noir ",4,"California","Pinot Noir",90,19.99
"Cambria Julia's Vineyard Pinot Noir ",4,"California","Pinot Noir",91,22.99
"Goldeneye Anderson Valley Pinot Noir ",3,"California","Pinot Noir",91,49.99
"Line 39 Pinot Noir ",5,"California","Pinot Noir",90,9.99
"Joseph Jewell Russian River Valley Pinot Noir ",4,"California","Pinot Noir",95,33.99
"Reata Three County Pinot Noir ",4,"California","Pinot Noir",90,19.99
"Migration Russian River Pinot Noir (375ML half-bottle) ",4,"California","Pinot Noir",93,19.99
"Cambria Julia's Vineyard Pinot Noir ",4,"California","Pinot Noir",91,22.99
"Goldeneye Anderson Valley Pinot Noir ",3,"California","Pinot Noir",91,49.99
"Line 39 Pinot Noir ",5,"California","Pinot Noir",90,9.99
"Reata Three County Pinot Noir ",4,"California","Pinot Noir",90,19.99
"Migration Russian River Pinot Noir (375ML half-bottle) ",4,"California","Pinot Noir",93,19.99
"Cambria Julia's Vineyard Pinot Noir ",4,"California","Pinot Noir",91,22.99
"Goldeneye Anderson Valley Pinot Noir ",3,"California","Pinot Noir",91,49.99
"Line 39 Pinot Noir ",5,"California","Pinot Noir",90,9.99
"Migration Russian River Pinot Noir (375ML half-bottle) ",4,"California","Pinot Noir",93,19.99
"La Crema Monterey Pinot Noir ",4,"California","Pinot Noir",88,22.99
"La Crema Russian River Pinot Noir ",4,"California","Pinot Noir",90,34.99
"Gary Farrell Russian River Pinot Noir ",4,"California","Pinot Noir",92,41.99
"Chasseur Umino Pinot Noir ",3,"California","Pinot Noir",92,59.99
"La Crema Russian River Pinot Noir ",4,"California","Pinot Noir",90,34.99
"Gary Farrell Russian River Pinot Noir ",4,"California","Pinot Noir",92,41.99
"Chasseur Umino Pinot Noir ",3,"California","Pinot Noir",92,59.99
"La Crema Russian River Pinot Noir ",4,"California","Pinot Noir",90,34.99
"Gary Farrell Russian River Pinot Noir ",4,"California","Pinot Noir",92,41.99
"Chasseur Umino Pinot Noir ",3,"California","Pinot Noir",92,59.99
"Chateau St. Jean Sonoma Coast Pinot Noir ",3,"California","Pinot Noir",90,19.99
"Chasseur Umino Pinot Noir ",3,"California","Pinot Noir",92,59.99
"Chateau St. Jean Sonoma Coast Pinot Noir ",3,"California","Pinot Noir",90,19.99
"Chasseur Umino Pinot Noir ",3,"California","Pinot Noir",92,59.99
"Chateau St. Jean Sonoma Coast Pinot Noir ",3,"California","Pinot Noir",90,19.99
"Siduri Santa Lucia Highlands Pinot Noir (375ML) ",4,"California","Pinot Noir",91,17.99
"Chateau St. Jean Sonoma Coast Pinot Noir ",3,"California","Pinot Noir",90,19.99
